time,event_type,description
16488.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62731.0 completed route, served 96 passengers"
16505.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66457.0 completed route, served 33 passengers"
16510.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68116.0 completed route, served 6 passengers"
16646.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68115.0 completed route, served 8 passengers"
16680.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
16763.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62737.0 completed route, served 32 passengers"
16791.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66454.0 completed route, served 32 passengers"
16880.101279190865,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
16884.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
16938.0,PASSENGERS_ABANDONED,3 passengers abandoned due to timeout
16958.592931761064,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
17029.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62743.0 completed route, served 0 passengers"
17080.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62710.0 completed route, served 22 passengers"
17176.33790107362,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
17302.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62716.0 completed route, served 23 passengers"
17408.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68117.0 completed route, served 3 passengers"
17468.150759515014,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
17547.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66462.0 completed route, served 13 passengers"
17607.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66465.0 completed route, served 39 passengers"
17632.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62747.0 completed route, served 54 passengers"
17730.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
17944.40332518455,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
17976.824016102604,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
18038.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR3_T62726.0 completed route, served 40 passengers"
18038.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
18060.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
18087.0,BUS_ROUTE_COMPLETED,"BUS_2_DIR4_T62757.0 completed route, served 31 passengers"
18090.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
18091.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR4_T68120.0 completed route, served 13 passengers"
18126.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
18176.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
18265.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR4_T66473.0 completed route, served 35 passengers"
18382.0,BUS_ROUTE_COMPLETED,"BUS_8_DIR1_T68119.0 completed route, served 5 passengers"
18450.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
18533.0,BUS_ROUTE_COMPLETED,"BUS_6_DIR5_T66470.0 completed route, served 23 passengers"
18533.0,PASSENGERS_ABANDONED,1 passengers abandoned due to timeout
